OID_,Region,Site_Code,SiteID,Site_name,Habitat,Subregion,StationID,First_Year_surveyed,length_m,Depth_ft,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
217,FKNMS,7D2,75,Tennessee Deep,OD,MK,752,1996,23,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
218,FKNMS,7D2,75,Tennessee Deep,OD,MK,753,1996,22,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
219,FKNMS,7D2,75,Tennessee Deep,OD,MK,754,1996,23,43,24.7527,-80.7578,24.0,45.162,-80.0,45.468
220,FKNMS,5D1,76,Sombrero Deep,OD,MK,761,1996,20,50,24.6223,-81.11199999999998,24.0,37.338,-81.0,6.72
221,FKNMS,5D1,76,Sombrero Deep,OD,MK,762,1996,20,45,24.6223,-81.11199999999998,24.0,37.338,-81.0,6.72
222,FKNMS,5D1,76,Sombrero Deep,OD,MK,763,1996,20,47,24.6231,-81.1105,24.0,37.386,-81.0,6.63
223,FKNMS,5D1,76,Sombrero Deep,OD,MK,764,1996,20,48,24.6231,-81.1105,24.0,37.386,-81.0,6.63
224,FKNMS,5D2,77,Looe Key Deep,OD,LK,771,1996,23,41,24.5421,-81.4153,24.0,32.526,-81.0,24.918
225,FKNMS,5D2,77,Looe Key Deep,OD,LK,772,1996,22,41,24.5421,-81.4153,24.0,32.526,-81.0,24.918
226,FKNMS,5D2,77,Looe Key Deep,OD,LK,773,1996,22,41,24.5426,-81.4128,24.0,32.556,-81.0,24.768
227,FKNMS,5D2,77,Looe Key Deep,OD,LK,774,1996,21,41,24.5426,-81.4128,24.0,32.556,-81.0,24.768
228,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,781,1996,26,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
229,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,782,1996,22,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
230,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,783,1996,22,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
231,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,784,1996,23,46,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
232,FKNMS,5D4,79,Western Sambo Deep,OD,LK,791,1996,22,40,24.478,-81.7171,24.0,28.68,-81.0,43.026
233,FKNMS,5D4,79,Western Sambo Deep,OD,LK,792,1996,20,40,24.478,-81.7171,24.0,28.68,-81.0,43.026
234,FKNMS,5D4,79,Western Sambo Deep,OD,LK,793,1996,26,27,24.4796,-81.7142,24.0,28.776,-81.0,42.852
235,FKNMS,5D4,79,Western Sambo Deep,OD,LK,794,1996,22,29,24.4796,-81.7142,24.0,28.776,-81.0,42.852
236,FKNMS,5D5,80,Rock Key Deep,OD,LK,801,1996,22,42,24.4532,-81.8568,24.0,27.192,-81.0,51.408
237,FKNMS,5D5,80,Rock Key Deep,OD,LK,802,1996,22,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
238,FKNMS,5D5,80,Rock Key Deep,OD,LK,803,1996,23,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
239,FKNMS,5D5,80,Rock Key Deep,OD,LK,804,1996,21,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
240,FKNMS,2D1,81,Sand Key Deep,OD,LK,811,1996,22,35,24.4517,-81.8798,24.0,27.102,-81.0,52.788
241,FKNMS,2D1,81,Sand Key Deep,OD,LK,812,1996,22,34,24.4517,-81.8798,24.0,27.102,-81.0,52.788
242,FKNMS,2D1,81,Sand Key Deep,OD,LK,813,1996,22,33,24.4517,-81.8798,24.0,27.102,-81.0,52.788
243,FKNMS,2D1,81,Sand Key Deep,OD,LK,814,1996,22,30,24.4517,-81.8798,24.0,27.102,-81.0,52.788
